ticker,direction,price,daily_change_pct,rsi,momentum_pct_20d,trend,support,resistance,market_score,market_regime,divergence,data_source
NDX,NEUTRAL,29209.228515625,0.6410353039475183,48.933510360136886,5.208698052012695,BEARISH,27176.029296875,30195.720703125,61.76470588235294,MILD RISK-ON,Semiconductors weaker than Nasdaq,CALCULATED
SPY,BULLISH,765.9099731445312,0.3195937672779856,54.195084581922494,3.3812040450641456,BULLISH,729.0999755859375,779.3699951171875,61.76470588235294,MILD RISK-ON,Semiconductors weaker than Nasdaq,CALCULATED
SOXX,BEARISH,514.0599975585938,1.5567594525332822,44.087490331675866,4.598544438297658,BEARISH,464.0799865722656,566.02001953125,61.76470588235294,MILD RISK-ON,Semiconductors weaker than Nasdaq,CALCULATED
DIA,BULLISH,535.239990234375,0.2979416748004934,55.73790663116041,1.5847663371470366,BULLISH,514.8200073242188,546.75,61.76470588235294,MILD RISK-ON,Semiconductors weaker than Nasdaq,CALCULATED
