symbol,option_type,current_price,strike,expiration,DTE,bid,ask,lastPrice,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,collected_at,mid_price,bid_ask_spread,relative_spread,volume_oi_ratio,moneyness,distance_pct,contract_multiplier,estimated_traded_premium,price_source,volume_source,oi_source,iv_source,mid_price_source,premium_source,underlying_price,delta,gamma,vega,delta_source,gamma_source,vega_source,greeks_status,trade_side_estimate,trade_side_source,open_close_estimate,open_close_source,flow_score,call_put_flow,estimated_directional_premium,flow_rank,option_count,total_volume,total_premium,call_premium,put_premium,call_put_premium_imbalance,symbol_flow_score,symbol_flow_rank,flow_reason
QQQ,PUT,723.030029296875,769.0,2026-09-30,53,48.46,50.91,80.8,0.0,0.0,1,1,0.1757284576416015,True,REGULAR,USD,2026-08-08 16:02:55 UTC,49.685,2.449999999999996,0.0493106571399818,1.0,0.0635796147330553,6.35796147330553,100,4968.5,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,723.030029296875,-0.7882300205602661,0.0059819588346839,0.797960130277576,CALCULATED,CALCULATED,CALCULATED,CALCULATED,UNKNOWN,ESTIMATED,UNKNOWN,ESTIMATED,51.81985532628237,-4968.5,0.0,12446,5579,1461354,1052583304.0,604520804.5,448062499.5,0.14864220665996808,60.22963309989952,4,Volume/OI surge | Premium activity
SPY,CALL,773.260009765625,708.0,2026-09-30,53,69.07,72.34,47.61,0.0,0.0,1,1,0.2520063813781738,True,REGULAR,USD,2026-08-08 16:02:48 UTC,70.705,3.2700000000000102,0.0462484972774204,1.0,-0.08439594566050984,-8.439594566050983,100,7070.5,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,773.260009765625,0.8477121640124059,0.0031717353901627,0.693973029934914,CALCULATED,CALCULATED,CALCULATED,CALCULATED,UNKNOWN,ESTIMATED,UNKNOWN,ESTIMATED,51.815039959458424,7070.5,0.0,12447,6261,2980685,1272364007.5,975634659.0,296729348.5,0.5335778963395426,76.50366844509314,2,Volume/OI surge | Premium activity | Call premium dominance
AMZN,PUT,274.4800109863281,220.0,2026-12-18,132,4.05,4.25,4.07,-0.5799999,-12.473116,74,6703,0.3591372680664062,False,REGULAR,USD,2026-08-08 16:03:12 UTC,4.15,0.2000000000000001,0.0481927710843373,0.011039832910637029,-0.19848443895989853,-19.848443895989853,100,30710.000000000004,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,274.4800109863281,-0.1151861867374042,0.0032780745258002,0.320761184941665,CALCULATED,CALCULATED,CALCULATED,CALCULATED,SELL EST.,ESTIMATED,UNKNOWN,ESTIMATED,51.81124784499935,-30710.000000000004,-30710.000000000004,12448,1203,386778,257734395.5,206490952.5,51243443.0,0.6023546418739442,52.035319628109164,5,Premium activity | Call premium dominance | Sell-side estimate
SPY,PUT,773.260009765625,585.0,2026-10-30,83,1.31,1.33,1.37,-0.029999971,-2.1428552,65,272,0.316840327758789,False,REGULAR,USD,2026-08-08 16:02:49 UTC,1.32,0.02,0.0151515151515151,0.23897058823529413,-0.2434627517110145,-24.34627517110145,100,8580.0,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,773.260009765625,-0.0237193291393029,0.0004786460472187,0.2062012339013527,CALCULATED,CALCULATED,CALCULATED,CALCULATED,UNKNOWN,ESTIMATED,UNKNOWN,ESTIMATED,51.80766979667912,-8580.0,0.0,12449,6261,2980685,1272364007.5,975634659.0,296729348.5,0.5335778963395426,76.50366844509314,2,Premium activity | Call premium dominance
TSLA,CALL,328.5799865722656,760.0,2026-12-18,132,1.11,1.3,1.13,0.0,0.0,88,485,0.6563755065917969,False,REGULAR,USD,2026-08-08 16:03:27 UTC,1.205,0.1899999999999999,0.1576763485477177,0.18144329896907216,1.312983234092533,131.2983234092533,100,10604.0,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,328.5799865722656,0.0293549624106452,0.000515239872209,0.1320459581168209,CALCULATED,CALCULATED,CALCULATED,CALCULATED,SELL EST.,ESTIMATED,UNKNOWN,ESTIMATED,51.8056121506302,10604.0,-10604.0,12450,2633,1161835,1403261093.0,448706899.5,954554193.5,-0.36047981129339274,81.90719716940089,1,Premium activity | Put premium dominance | Sell-side estimate
QQQ,PUT,723.030029296875,860.0,2026-10-16,69,135.52,138.95,145.06,0.0,0.0,1,1,0.2478712908935547,True,REGULAR,USD,2026-08-08 16:02:55 UTC,137.235,3.4299999999999784,0.0249936240754907,1.0,0.18943884092383298,18.943884092383296,100,13723.500000000002,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,723.030029296875,-0.931316286198016,0.0016980915437424,0.4159644581474652,CALCULATED,CALCULATED,CALCULATED,CALCULATED,UNKNOWN,ESTIMATED,UNKNOWN,ESTIMATED,51.80518990345137,-13723.500000000002,0.0,12451,5579,1461354,1052583304.0,604520804.5,448062499.5,0.14864220665996808,60.22963309989952,4,Volume/OI surge | Premium activity
SPY,CALL,773.260009765625,745.0,2026-09-11,34,33.25,36.35,34.67,2.6599998,8.309903,6,345,0.2022174505615234,True,REGULAR,USD,2026-08-08 16:02:48 UTC,34.8,3.1000000000000014,0.0890804597701149,0.017391304347826087,-0.036546581238813325,-3.654658123881332,100,20880.0,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,773.260009765625,0.7563084738890961,0.0065681502617635,0.739773660496375,CALCULATED,CALCULATED,CALCULATED,CALCULATED,UNKNOWN,ESTIMATED,UNKNOWN,ESTIMATED,51.804785209126194,20880.0,0.0,12452,6261,2980685,1272364007.5,975634659.0,296729348.5,0.5335778963395426,76.50366844509314,2,Premium activity | Call premium dominance | Near-term concentration
META,CALL,592.0999755859375,430.0,2026-08-21,13,159.55,166.7,162.81,3.2399902,2.0304506,2,51,0.8728040063476561,True,REGULAR,USD,2026-08-08 16:03:18 UTC,163.125,7.149999999999977,0.0438314176245209,0.0392156862745098,-0.27377129246716253,-27.37712924671625,100,32625.0,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,592.0999755859375,0.9789763803261584,0.0005178905623598,0.0564410782765958,CALCULATED,CALCULATED,CALCULATED,CALCULATED,UNKNOWN,ESTIMATED,UNKNOWN,ESTIMATED,51.80435270589372,32625.0,0.0,12453,3046,261392,411822567.5,256631953.5,155190614.0,0.24632292522434435,44.69484387836516,7,Premium activity | Near-term concentration
AMZN,PUT,274.4800109863281,220.0,2026-08-21,13,0.08,0.09,0.08,-0.030000001,-27.272728,702,26235,0.49414568359375,False,REGULAR,USD,2026-08-08 16:03:10 UTC,0.08499999999999999,0.0099999999999999,0.1176470588235293,0.026758147512864493,-0.19848443895989853,-19.848443895989853,100,5966.999999999999,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,274.4800109863281,-0.0074583075875772,0.0008050847516405,0.0106750161315829,CALCULATED,CALCULATED,CALCULATED,CALCULATED,BUY EST.,ESTIMATED,UNKNOWN,ESTIMATED,51.802269650878436,-5966.999999999999,5966.999999999999,12454,1203,386778,257734395.5,206490952.5,51243443.0,0.6023546418739442,52.035319628109164,5,Premium activity | Call premium dominance | Buy-side estimate | Near-term concentration
QQQ,CALL,723.030029296875,702.0,2026-08-12,4,19.7,22.14,22.33,4.6000004,25.94473,3,98,0.2177812597656249,True,REGULAR,USD,2026-08-08 16:02:52 UTC,20.92,2.4400000000000013,0.1166347992351816,0.030612244897959183,-0.029085969385429362,-2.908596938542936,100,6276.000000000001,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,723.030029296875,0.9074706530086476,0.0100560021859928,0.1254658871272531,CALCULATED,CALCULATED,CALCULATED,CALCULATED,BUY EST.,ESTIMATED,UNKNOWN,ESTIMATED,51.80144549617639,6276.000000000001,6276.000000000001,12455,5579,1461354,1052583304.0,604520804.5,448062499.5,0.14864220665996808,60.22963309989952,4,Premium activity | Buy-side estimate | Near-term concentration
